Equity Holding,Shares,Market Value,Country
Arcelik AS,339000,2000000,Turkey
ArcelorMittal,1108000,13000000,Luxembourg
Arch Capital Group Ltd,260000,20000000,United States
Archer-Daniels-Midland Co,1342000,81000000,United States
Argosy Property Ltd,1752000,2000000,New Zealand
Asahi Glass Co Ltd,4730000,39000000,Japan
Asahi Group Holdings Ltd,1389000,56000000,Japan
Asahi Kasei Corp,3676000,45000000,Japan
Ascendas Real Estate Investment Trust,2902000,7000000,Singapore
Asciano Ltd,1538000,9000000,Australia
Ashland Inc,450000,73000000,United States
Ashtead Group PLC,273000,6000000,United Kingdom
Asia Cement Corp,7389000,12000000,Taiwan
Asia Pacific Telecom Co Ltd,3074000,2000000,Taiwan
Asian Pay Television Trust,2451000,2000000,Taiwan
Asics Corp,49000,2000000,Japan
Aspen Pharmacare Holdings Ltd,550000,22000000,South Africa
Assicurazioni Generali SpA,1539000,38000000,Italy
Associated British Foods PLC,425000,22000000,United Kingdom
Assore Ltd,78000,1000000,South Africa
Astellas Pharma Inc,5707000,119000000,Japan
Astra Agro Lestari Tbk PT,636000,1000000,Indonesia
Astra International Tbk PT,33602000,28000000,Indonesia
AstraZeneca PLC,457000,40000000,United Kingdom
Astro Malaysia Holdings Bhd,3706000,4000000,Malaysia
Asustek Computer Inc,1568000,20000000,Taiwan
Atlas Copco AB A,41000,2000000,Sweden
Atmel Corp,1213000,13000000,United States
Atrium European Real Estate Ltd,265000,2000000,Austria
Attijariwafa Bank,116000,6000000,Morocco
Auckland International Airport Ltd,1633000,7000000,New Zealand
Aurizon Holdings Ltd,496000,2000000,Australia
Australia & New Zealand Banking Group Ltd,2948000,105000000,Australia
AutoNation Inc,110000,9000000,United States
Autodesk Inc,465000,35000000,United States
Automatic Data Processing Inc,629000,68000000,United States
Avago Technologies Ltd,341000,55000000,United States
AvalonBay Communities Inc,263000,58000000,United States
Avery Dennison Corp,380000,25000000,United States
Avis Budget Group Inc,305000,23000000,United States
Aviva PLC,1663000,17000000,United Kingdom
Avnet Inc,272000,15000000,United States
Avon Products Inc,562000,6000000,United States
Axiall Corp,109000,6000000,United States
Axiata Group Bhd,6497000,16000000,Malaysia
Axis Bank Ltd,108000,1000000,India
Axis Capital Holdings Ltd,215000,14000000,United States
Ayala Corp,450000,10000000,Philippines
Ayala Land Inc,10825000,12000000,Philippines
Aygaz AS,250000,1000000,Turkey
BAIC Motor Corp Ltd,947000,1000000,China
BASF SE,1127000,142000000,Germany
BB Seguridade Participacoes SA,949000,12000000,Brazil
BB&T Corp,1317000,65000000,United States
BDO Unibank Inc,2723000,10000000,Philippines
BEC World PCL,1016000,2000000,Thailand
BG Group PLC,970000,15000000,United Kingdom
BHP Billiton Ltd,3028000,91000000,Australia
BHP Billiton PLC,1982000,55000000,United Kingdom
BIM Birlesik Magazalar AS,267000,6000000,Turkey
BIMB Holdings Bhd,748000,1000000,Malaysia
BM&FBovespa SA - Bolsa de Valores Mercadorias e Futuros,2512000,11000000,Brazil
BMCE Bank,81000,2000000,Morocco
BNK Financial Group Inc,503000,9000000,South Korea
BNP Paribas SA,1671000,129000000,France
BOC Hong Kong Holdings Ltd,4870000,22000000,Hong Kong
BOE Technology Group Co Ltd,6109000,5000000,China
BP PLC,17565000,144000000,United Kingdom
BR Malls Participacoes SA,643000,4000000,Brazil
BRF SA,211000,5000000,Brazil
BRF SA Depositary Receipt,720000,18000000,Brazil
BT Group PLC,6031000,50000000,United Kingdom
BTS Group Holdings PCL,6004000,2000000,Thailand
BTS Group Holdings PCL Depositary Receipt,3727000,1000000,Thailand
BUWOG AG,163000,4000000,Austria
Baidu Inc Depositary Receipt,204000,54000000,China
Baker Hughes Inc,420000,34000000,United States
Ball Corp,345000,31000000,United States
