Asset Class,Security Description,Exposure,Quantity
Equity,WR Grace Ord Shs,366078,3700
Equity,WW Grainger Ord Shs,871416,3900
Equity,Wyndham Worldwide Ord Shs,1827872,23900
Equity,Xerox Ord Shs,1257724,123670
Equity,Xilinx Ord Shs,641336,15310
Equity,Yahoo Ord Shs,936701,29054
Equity,Yum Brands Ord Shs,654593,8206
Equity,Zebra Technologies Ord Shs Class A,465620,5618
Equity,Zillow Group Ord Shs Class C,295920,12000
Equity,Zimmer Biomet Holdings Ord Shs,1206267,11648
Equity,Zoetis Ord Shs Class A,3406171,75912
Equity,E-Mini S&P 500 Index Future,18341274,186
